wss://yabu.me/,41
wss://wot.siamstr.com,9
wss://satsage.xyz/,16
wss://haven.tealeaf.dev/inbox,16
wss://relay.current.fyi,4
wss://nostr.messagepush.io,13
wss://soloco.nl/,1
wss://relay.westernbtc.com/,26
wss://nostr-verif.slothy.win,13
wss://relay.artx.market,13
wss://private.red.gb.net,3
wss://unostr.site/,1
wss://relay.wellorder.net,13
wss://nostr.cahlen.org,13
wss://nostr.1f52b.xyz/,2
wss://relay.snort.social,35
wss://nostrelites.org/,18
wss://user.kindpag.es/,26
wss://nostr21.com/,9
wss://nostr-relay.wlvs.space/,1
wss://relay.utxo.one/inbox,1
ws://n3xb.io:7000,2
wss://relay.nostr.nu,1
wss://wot.utxo.one/,23
wss://eden.nostr.land/,33
wss://nostr-pub.semisol.dev,2
ws://nastyrelay.io:5000/nostrclient/api/v1/relay,2
wss://rsslay.ch3n2k.com,13
wss://nostr.decentony.com/,3
wss://offchain.pub,3
wss://relay.hakua.xyz,13
wss://wot.tealeaf.dev/,16
wss://purplerelay.com/,9
wss://bitcoinmaximalists.online/,10
wss://relay.nostr.sc/,1
wss://frogathon.nostr1.com,1
wss://auth.nostr1.com/,41
wss://relay.lnfi.network,13
wss://relay.nostr.bg/,26
wss://nostr.agentcampfire.com,13
wss://nostr.zbd.gg/,2
wss://plebone.nostr1.com,5
wss://relay.urbanzap.space,13
wss://ryan.nostr1.com/,2
wss://nostr-pub.wellorder.net/,135
wss://relay.damus.io,59
wss://bitcoinmaximalists.online,13
wss://nostr.oxtr.dev,24
wss://relay.nostrati.com/,5
wss://nostr.holybea.com/,3
wss://relay.nsec.app/,1
wss://nostr.einundzwanzig.space/,1
wss://nostr.mom/,53
wss://creatr.nostr.wine/,15
wss://relay.nsecbunker.com,13
wss://relay.stoner.com,13
wss://nostr.sathoarder.com,13
wss://nostr.heavyrubberslave.com/,1
wss://relay.lnau.net,9
wss://nostr.lu.ke/,11
wss://nostr1.daedaluslabs.io,1
wss://relay.mostr.pub/,17
wss://nostrrelay.win,23
wss://nostr.hexhex.online,13
wss://relayable.org,15
wss://nostr-verified.wellorder.net,13
wss://nostr-pub.semisol.dev/,1
wss://relay.getalby.com/v1,1
wss://purplepag.es/,52
wss://nostr.bitcoiner.social,2
wss://filter.nostr.wine/npub1rzg96zjavgatsx5ch2vvtq4atatly5rvdwqgjp0utxw45zeznvyqfdkxve?broadcast=true,1
wss://nostr1.tunnelsats.com/,1
wss://bostr.orangesync.tech/,1
wss://relay.noswhere.com,1
wss://inbox.nostr.wine,9
wss://hist.nostr.land,3
wss://njump.me/,1
wss://nostr.1f52b.xyz,13
wss://relay.service.mapboss.co.th/,1
wss://nostr.mutinywallet.com,1
wss://relay.primal.net,15
wss://relay.nostr.band,23
wss://nostrja-kari.heguro.com/,11
wss://nostr.easydns.ca,9
wss://agora.nostr1.com,1
wss://nostr.hubmaker.io/,2
wss://nostr.lopp.social/,9
wss://relay.minds.com/nostr/v1/ws,1
wss://relay.nostr.info/,2
wss://nostr.wine,32
wss://wot.sudocarlos.com/,31
wss://zap.watch/,16
wss://relay.zap.store,13
wss://nostr.l00p.org,14
wss://relay.magiccity.live/,13
wss://nostr.ch3n2k.com,1
wss://relay.nostriches.org/,2
wss://search.nos.today,13
wss://nostr.strits.dk,13
wss://wot.siamstr.com/,15
wss://private.red.gb.net/,11
wss://nostrua.com/,6
wss://nostr-01.yakihonne.com,1
wss://filter.weme.wtf/,21
wss://nostr.l00p.org/,1
ws://umbrel.local:4848,3
wss://relay.saes.io/inbox,1
wss://relay.botev.sv,1
wss://vitor.nostr1.com,1
wss://nostr-relay.app/,16
wss://nostr.thank.eu/,2
wss://relay.mostard.org/,1
wss://cellar.nostr.wine,1
wss://wot.sovbit.host/,31
wss://nostr.lnprivate.network/,1
wss://relay.nostr.net,1
wss://relay.nostr.wirednet.jp/,8
wss://chorus.tealeaf.dev/,16
wss://wot.nostr.sats4.life/,2
wss://relay.orangepill.dev,2
wss://relay.saes.io/chat,1
wss://relay.degmods.com/,2
wss://relay.bitcoinpark.com,1
wss://relay.nostrcheck.me/,10
wss://nostr.tbai.me:592,13
wss://relayer.fiatjaf.com/,1
wss://relay.nostr.bg,2
wss://nostr-dev.wellorder.net,13
wss://relay.nostr.band/,139
wss://atlas.nostr.land,1
wss://ragnar-relay.com,13
wss://nostr.cercatrova.me,14
wss://nostrelay.yeghro.site/,1
wss://21ideas.nostr1.com/,1
wss://relay.saes.io/outbox,1
wss://nos.lol/,192
wss://nostr.rocketnode.space,13
wss://wot.nostr.sats4.life/inbox,2
wss://nostr-relay.derekross.me/,3
wss://relay.n057r.club,14
wss://nostrdevs.nostr1.com/,2
wss://relay.mostro.network/,106
wss://nostr.oxtr.dev/,26
wss://nostr.bitcoiner.social/,52
wss://nostr.fmt.wiz.biz,23
wss://filter.nostr.wine,1
ws://192.168.1.20:8080/,1
wss://relay.lnau.net/,31
wss://nostr.inosta.cc/,4
wss://nostr-01.bolt.observer/,1
wss://21ideas.nostr1.com,1
wss://relay.0xchat.com,23
wss://nostr.t-rg.ws,1
wss://relay.nsec.app,13
ws://localhost:4869/,3
wss://nostr-relay.derekross.me/inbox,3
wss://purplenostrich.com/,1
wss://nostr.wine/,85
wss://nostr.fmt.wiz.biz/,19
wss://nostr.walletofsatoshi.com/,11
ws://nostrproxy.io:7778/,2
wss://relay.nostrich.land/,3
wss://relay.nostrati.com,1
wss://yabu.me,14
wss://purplepag.es,13
wss://wot.azzamo.net/,16
wss://nostr.mom,2
wss://eden.nostr.land,21
wss://atlas.nostr.land/,14
wss://nostrelites.org,3
wss://nostr.h3z.jp/,3
wss://relay.hodl.ar/,2
wss://relay.nostrplebs.com/,14
wss://welcome.nostr.wine/,15
wss://nostr.sectiontwo.org/,2
wss://bevo.nostr1.com/,1
wss://feeds.nostr.band/pics,1
wss://e.nos.lol/,1
wss://no.str.cr/,1
wss://filter.nostr.wine/npub10awzknjg5r5lajnr53438ndcyjylgqsrnrtq5grs495v42qc6awsj45ys7?broadcast=true,1
wss://nostr.kosmos.org/,1
wss://nostr.rocketnode.space/,1
wss://yestr.me/,34
wss://relay.nip05.social/,15
wss://relay.weme.wtf/,21
wss://relay.exit.pub/,9
wss://satsage.xyz,3
wss://relay.momostr.pink/,5
wss://relay.keychat.io,13
wss://relay.poster.place/,63
wss://relay.nos.social,6
wss://relay.primal.net/,13
wss://nostr.massmux.com,13
wss://nostr.gleeze.com,1
wss://relay.noderunners.network/,3
wss://nostr.mutinywallet.com/,5
wss://directory.yabu.me,13
wss://140.f7z.io/,4
wss://rkgk.moe,9
wss://relay.damus.io/,180
wss://wot.utxo.one,19
wss://relay.0xchat.com/,13
wss://relay.kisiel.net.pl,14
wss://sendit.nosflare.com/,4
wss://auth.nostr1.com,9
wss://nostr-relay.derekross.me,13
wss://relay.zone667.com,1
wss://nostr.frennet.xyz/,1
wss://relay.plebstr.com,1
wss://nos.lol,52
wss://filter.nostr.wine/,34
wss://relay.nostr.com.au/,26
wss://relay.nostr.sc,13
wss://wot.girino.org,1
wss://bitcoiner.social/,35
wss://offchain.pub/,24
wss://relay-jp.nostr.wirednet.jp/,2
wss://puravida.nostr.land/,27
wss://wot.swarmstr.com/,16
wss://relay.sovereign-stack.org,13
wss://nostr.lnproxy.org/,1
wss://relay.snort.social/,52
wss://nostr.cahlen.org/,2
wss://nostr.bitcoinist.org,13
wss://nostr.guru/,2
ws://nastyrelay.io:5000/nostrrelay/1,1
wss://wot.nostr.party,1
wss://relay.nostr.or.jp/,2
wss://nostr.land,3
wss://nostr.sectiontwo.org,13
wss://nostr.roundrockbitcoiners.com,13
wss://vitor.nostr1.com/,1
wss://nostr-pub.wellorder.net,3
wss://nostr.1661.io/,1
wss://relay1.nostrchat.io,15
wss://obiurgator.thewhall.com,13
wss://nostr.einundzwanzig.space,13
wss://nostr.milou.lol/,3
wss://relay.nostrgraph.net/,2
wss://frens.utxo.one/,1
wss://lightningrelay.com/,11
wss://relay.dev.bdw.to,13
wss://relay.noderunners.network,3
wss://nostr-paid.h3z.jp/,1
wss://relay.utxo.one/,3
wss://wot.girino.org/,19
wss://pyramid.fiatjaf.com/,3
wss://bostr.bitcointxoko.com/,1
wss://relay.nostrplebs.com:,1
wss://relay.mostr.pub,178
wss://relay.hakua.xyz/,13
ws://umbrel:4848,1
